Provision type,Ofsted region,Local authority,Sector,Places,Organisation which owns the provider
Residential Special School,South East,East Sussex,Voluntary,40,St Mary's school and sixth form college (part of the Talking Trust)
Residential Special School,South East,Brighton and Hove,Voluntary,28,Hamilton Lodge School
Voluntary Adoption Agency,South West,Bristol,Voluntary,,Action For Children
Children's home,East Midlands,Northamptonshire,Private,2,Esland North Limited
Residential special school (registered as a children's home),South East,Surrey,Voluntary,66,The Children's Trust
Children's home,South East,Buckinghamshire,Private,4,Benjamin Uk Ltd
Children's home,East Midlands,Derbyshire,Local Authority,6,Derbyshire County Council
Children's home,North West,Liverpool,Private,4,Considerate Care Limited
Children's home,South East,Hampshire,Private,4,New Forest Care
Children's home,East Midlands,Nottinghamshire,Private,4,Castle Homes Care Ltd
Children's home,North West,Oldham,Private,2,Timeout Childrens Homes Ltd
Children's home,"North East, Yorkshire and the Humber",Durham,Private,7,Witherslack Group Ltd
Children's home,North West,Cheshire East,Private,3,Footsteps A Path To Change 08 Ltd
Children's home,South East,Hampshire,Private,4,Serenity Care Homes Ltd
Children's home,North West,Rochdale,Private,1,Cambian Childcare Ltd
Children's home,North West,Halton,Private,2,Cambian Childcare Ltd
Children's home,"North East, Yorkshire and the Humber",Middlesbrough,Private,1,Cambian Childcare Ltd
Children's home,South West,Cornwall,Private,3,Cambian Childcare Ltd
Children's home,"North East, Yorkshire and the Humber",Durham,Private,3,Cambian Childcare Ltd
Children's home,London,Greenwich,Private,3,Jamores Limited
Children's home,East Midlands,Derbyshire,Private,4,Pathways Residential Child Care Limited
Children's home,"North East, Yorkshire and the Humber",Sunderland,Voluntary,8,Investing In Children Cic
Children's home,East of England,Hertfordshire,Private,2,Jasmine Gardens Private Ltd
Children's home,South West,Devon,Private,2,One To One Crisis Intervention Ltd
Children's home,London,Redbridge,Private,5,Heartwood Rsl Ltd
Children's home,North West,Manchester,Private,5,Keys Group Progressive Care & Education Limited
Children's home,South West,Plymouth,Private,2,South West Childcare Services
Residential Family Centre,South West,Somerset,Private,6,Orchard House Family Assessment Centre Limited
Further Education College with Residential Accommodation,South East,Surrey,Voluntary,99,Guildford College
Adoption Support Agency,South East,Surrey,Private,,
Residential special school (registered as a children's home),South East,Hampshire,Private,31,Cambian Autism Services Limited
Adoption Support Agency,"North East, Yorkshire and the Humber",Newcastle upon Tyne,Voluntary,,St Cuthbert's Care
Residential Special School,East Midlands,Rutland,Private,96,Wilds Lodge School
Children's home,North West,Rochdale,Private,1,Timeout Childrens Homes Ltd
Children's home,"North East, Yorkshire and the Humber",Northumberland,Private,4,Cambian Childcare Ltd
Children's home,North West,St Helens,Private,5,Essandore Limited
Children's home,"North East, Yorkshire and the Humber",Sheffield,Local Authority,5,Sheffield City Council
Children's home,South West,Somerset,Private,4,Cambian Childcare Ltd
Children's home,North West,Lancashire,Private,5,Nurture Childcare Services Ltd
Children's home,South West,Somerset,Private,4,Keys Educational Services Limited
Children's home,North West,Lancashire,Private,4,Care 4 Children Holdco Limited
Children's home,North West,Wigan,Private,3,Inspire Childrens Services
Children's home,South East,Kent,Private,6,Aspire Care And Education Services
Independent Fostering Agency,North West,Bolton,Private,,Next Stage For Fostering Ltd
Children's home,East of England,Essex,Private,8,Compass Children's Homes Ltd
Children's home,"North East, Yorkshire and the Humber",Sunderland,Private,2,Hmo Ne Ltd
Children's home,"North East, Yorkshire and the Humber",East Riding of Yorkshire,Private,3,Vcare - 24 Limited
Children's home,South West,Somerset,Private,3,1848 Ltd
Children's home,"North East, Yorkshire and the Humber",Newcastle upon Tyne,Local Authority,4,Newcastle City Council
Children's home,"North East, Yorkshire and the Humber",Barnsley,Private,4,KESWICK CARE LTD
Children's home,South West,Somerset,Private,3,Empower Support Services Limited
Children's home,North West,Lancashire,Private,6,Keys QTC
Children's home,South East,East Sussex,Private,2,Anderida Adolescent Care Ltd
Children's home,West Midlands,Wolverhampton,Private,5,Horizon Transitional Care Limited
Children's home,East Midlands,Leicestershire,Private,3,Haven Care Group Ltd
Children's home,West Midlands,Herefordshire,Private,2,Cambian Childcare Ltd
Children's home,East of England,Peterborough,Local Authority,8,Peterborough City Council
Children's home,"North East, Yorkshire and the Humber",Calderdale,Private,4,Keys BR Limited
Children's home,London,Bexley,Private,6,Esland South Limited
Children's home,East of England,Bedford,Private,3,Oracle Care Limited
Children's home,North West,Bolton,Private,5,Courtyard Care Limited
Children's home,West Midlands,Stoke-on-Trent,Private,2,Crystal Care Solutions Limited
Children's home,"North East, Yorkshire and the Humber",Durham,Local Authority,3,Durham County Council
Residential special school (registered as a children's home),"North East, Yorkshire and the Humber",Doncaster,Private,9,Doncaster Deaf Trust
Children's home,North West,Lancashire,Local Authority,6,Lancashire County Council
Children's home,North West,Lancashire,Local Authority,3,Lancashire County Council
Independent Fostering Agency,East Midlands,Derbyshire,Private,,Five Rivers Child Care Limited
Children's home,South East,Kent,Private,4,Channels & Choices Kent LLP
Children's home,East of England,Essex,Private,5,Priory Education Services Limited
Children's home,South East,Hampshire,Private,4,Priory Education Services Limited
Further Education College with Residential Accommodation,South West,Devon,Academy,37,Exeter Mathematics School
Residential Family Centre,North West,Sefton,Private,4,Amber Family Ltd
Children's home,West Midlands,Staffordshire,Private,4,Crystal Care Solutions Limited
Children's home,South East,Hampshire,Private,3,Arc HD Services Ltd
Children's home,"North East, Yorkshire and the Humber",Bradford,Private,8,Hexagon Care Services Limited
Children's home,West Midlands,Sandwell,Private,3,Individual Specialist Care Ltd
Children's home,North West,Tameside,Local Authority,4,Tameside Metropolitan Borough Council 
Children's home,East Midlands,Leicestershire,Private,4,Platform Childcare Ltd
Children's home,South West,"Bournemouth, Christchurch & Poole",Private,4,Beaufort Care Group
Residential Family Centre,West Midlands,Coventry,Voluntary,12,Dudley Lodge
Children's home,East of England,Suffolk,Private,4,Care Focus Limited
Voluntary Adoption Agency,East Midlands,Nottinghamshire,Voluntary,,Faith In Families
Children's home,North West,Rochdale,Private,3,The Partnership Of Care Today
Children's home,"North East, Yorkshire and the Humber",Durham,Private,8,Witherslack Group Ltd
Children's home,North West,Lancashire,Private,7,Witherslack Group Ltd
Children's home,West Midlands,Shropshire,Private,5,Cambian Childcare Ltd
Children's home,South East,Kent,Private,3,Ethelbert Specialist Homes Limited
Children's home,North West,Stockport,Voluntary,5,The Together Trust
Children's home,West Midlands,Warwickshire,Private,5,Cambian Childcare Ltd
Children's home,West Midlands,Shropshire,Private,5,Cambian Childcare Ltd
Children's home,West Midlands,Shropshire,Private,5,Cambian Childcare Ltd
Children's home,West Midlands,Shropshire,Private,5,Cambian Childcare Ltd
Children's home,West Midlands,Staffordshire,Private,3,Crystal Care Solutions Limited
Children's home,North West,Wigan,Private,3,Crystal Care Solutions Limited
Independent Fostering Agency,"North East, Yorkshire and the Humber",Wakefield,Voluntary,,The Children's Family Trust
Children's home,West Midlands,Birmingham,Private,4,Cambian Childcare Ltd
Children's home,South East,Oxfordshire,Voluntary,7,Barnardo's
Children's home,West Midlands,Telford and Wrekin,Private,5,CareTech Community Services Limited
Independent Fostering Agency,South West,Devon,Private,,The Fostering Foundation Limited
Children's home,North West,Lancashire,Private,2,Next Stage 4Life LTD
Children's home,London,Havering,Private,4,Kelwel Care Limited
Children's home,North West,St Helens,Private,2,Inspire Childrens Services
Children's home,East of England,Hertfordshire,Local Authority,4,Hertfordshire County Council
Children's home,"North East, Yorkshire and the Humber",Barnsley,Local Authority,10,Barnsley Metropolitan Borough Council
Children's home,"North East, Yorkshire and the Humber",Kirklees,Voluntary,5,Care Management Solutions Limited
Children's home,East of England,Essex,Private,4,Kedleston (Wood Grove Childcare) Ltd
Children's home,London,Kingston upon Thames,Private,7,Reamcare Limited
Residential special school (registered as a children's home),"North East, Yorkshire and the Humber",Sheffield,Voluntary,5,Ruskin Mill Trust Limited
Children's home,East Midlands,Nottingham,Local Authority,2,Nottingham City Council
Children's home,North West,Bolton,Private,3,Cambian Childcare Ltd
Children's home,North West,Manchester,Private,4,Cambian Childcare Ltd
Children's home,"North East, Yorkshire and the Humber",Stockton-on-Tees,Private,5,Spark Of Genius North East Llp
Independent Fostering Agency,East Midlands,Leicestershire,Private,,Compass Fostering Central Limited
Children's home,South East,Hampshire,Local Authority,9,Hampshire County Council
Children's home,North West,Rochdale,Private,3,Meadows Care Limited
Adoption Support Agency,London,Hackney,Voluntary,,PAC-UK Ltd
Residential Special School,South East,Kent,Voluntary,22,
Boarding School,West Midlands,Dudley,Voluntary,2,Elmfield Rudolf Steiner School Ltd
Children's home,North West,Liverpool,Private,3,The Partnership Of Care Today
Children's home,North West,Liverpool,Private,6,Quality Protects Children Ltd
Children's home,London,Croydon,Private,3,Jamores Limited
Children's home,London,Brent,Private,4,Champion Children (NW London) Limited
Children's home,"North East, Yorkshire and the Humber",North Yorkshire,Private,2,Laska Care And Education Ltd
Children's home,South East,East Sussex,Private,2,Crusoe Care Limited 06843979
Children's home,East Midlands,Leicestershire,Private,6,Cambian Childcare Ltd
Children's home,North West,Stockport,Private,5,Choices Home For Children Limited
Children's home,West Midlands,Shropshire,Private,3,Bryn Melyn Care Limited
Independent Fostering Agency,South West,Dorset,Private,,Footprints Foster Care Ltd
Residential Special School,East of England,Hertfordshire,Voluntary,12,National Autistic Society
Children's home,East Midlands,Derbyshire,Private,8,Arnfield Care Limited
Children's home,West Midlands,Telford and Wrekin,Private,5,Castle Homes Care Ltd
Children's home,West Midlands,Shropshire,Private,3,Keys Nhcc Ltd
Children's home,West Midlands,Shropshire,Private,3,Keys Nhcc Ltd
Further Education College with Residential Accommodation,East Midlands,Leicestershire,Local Authority,66,Leicestershire County Council
Independent Fostering Agency,East Midlands,Nottinghamshire,Private,,Fostering People Limited
Children's home,"North East, Yorkshire and the Humber",Leeds,Voluntary,7,Catholic Care (Diocese of Leeds)
Residential Special School,"North East, Yorkshire and the Humber",Leeds,Voluntary,20,St John's Catholic School For The Deaf
Boarding School,East Midlands,Nottingham,Voluntary,250,Board of Trustees of Madni Trust
